,continent,country,year,metric,value
0,Africa,Algeria,1952,gdpPercap,2449.008185
1704,Africa,Algeria,1952,lifeExp,43.077
3408,Africa,Algeria,1952,pop,9279525.0
142,Africa,Algeria,1957,gdpPercap,3013.976023
1846,Africa,Algeria,1957,lifeExp,45.685
3550,Africa,Algeria,1957,pop,10270856.0
284,Africa,Algeria,1962,gdpPercap,2550.81688
1988,Africa,Algeria,1962,lifeExp,48.303
3692,Africa,Algeria,1962,pop,11000948.0
426,Africa,Algeria,1967,gdpPercap,3246.991771
2130,Africa,Algeria,1967,lifeExp,51.407
3834,Africa,Algeria,1967,pop,12760499.0
568,Africa,Algeria,1972,gdpPercap,4182.663766
2272,Africa,Algeria,1972,lifeExp,54.518
3976,Africa,Algeria,1972,pop,14760787.0
710,Africa,Algeria,1977,gdpPercap,4910.416756
2414,Africa,Algeria,1977,lifeExp,58.014
4118,Africa,Algeria,1977,pop,17152804.0
852,Africa,Algeria,1982,gdpPercap,5745.160213
2556,Africa,Algeria,1982,lifeExp,61.368
4260,Africa,Algeria,1982,pop,20033753.0
994,Africa,Algeria,1987,gdpPercap,5681.358539
2698,Africa,Algeria,1987,lifeExp,65.799
4402,Africa,Algeria,1987,pop,23254956.0
1136,Africa,Algeria,1992,gdpPercap,5023.216647
2840,Africa,Algeria,1992,lifeExp,67.744
4544,Africa,Algeria,1992,pop,26298373.0
1278,Africa,Algeria,1997,gdpPercap,4797.295051
2982,Africa,Algeria,1997,lifeExp,69.152
4686,Africa,Algeria,1997,pop,29072015.0
1420,Africa,Algeria,2002,gdpPercap,5288.040382
3124,Africa,Algeria,2002,lifeExp,70.994
4828,Africa,Algeria,2002,pop,31287142.0
1562,Africa,Algeria,2007,gdpPercap,6223.367465
3266,Africa,Algeria,2007,lifeExp,72.301
4970,Africa,Algeria,2007,pop,33333216.0
1,Africa,Angola,1952,gdpPercap,3520.610273
1705,Africa,Angola,1952,lifeExp,30.015
3409,Africa,Angola,1952,pop,4232095.0
143,Africa,Angola,1957,gdpPercap,3827.940465
1847,Africa,Angola,1957,lifeExp,31.999
3551,Africa,Angola,1957,pop,4561361.0
285,Africa,Angola,1962,gdpPercap,4269.276742
1989,Africa,Angola,1962,lifeExp,34.0
3693,Africa,Angola,1962,pop,4826015.0
427,Africa,Angola,1967,gdpPercap,5522.776375
2131,Africa,Angola,1967,lifeExp,35.985
3835,Africa,Angola,1967,pop,5247469.0
569,Africa,Angola,1972,gdpPercap,5473.288005
2273,Africa,Angola,1972,lifeExp,37.928
3977,Africa,Angola,1972,pop,5894858.0
711,Africa,Angola,1977,gdpPercap,3008.647355
2415,Africa,Angola,1977,lifeExp,39.483
4119,Africa,Angola,1977,pop,6162675.0
853,Africa,Angola,1982,gdpPercap,2756.953672
2557,Africa,Angola,1982,lifeExp,39.942
4261,Africa,Angola,1982,pop,7016384.0
995,Africa,Angola,1987,gdpPercap,2430.208311
2699,Africa,Angola,1987,lifeExp,39.906
4403,Africa,Angola,1987,pop,7874230.0
1137,Africa,Angola,1992,gdpPercap,2627.845685
2841,Africa,Angola,1992,lifeExp,40.647
4545,Africa,Angola,1992,pop,8735988.0
1279,Africa,Angola,1997,gdpPercap,2277.140884
2983,Africa,Angola,1997,lifeExp,40.963
4687,Africa,Angola,1997,pop,9875024.0
1421,Africa,Angola,2002,gdpPercap,2773.287312
3125,Africa,Angola,2002,lifeExp,41.003
4829,Africa,Angola,2002,pop,10866106.0
1563,Africa,Angola,2007,gdpPercap,4797.231267
3267,Africa,Angola,2007,lifeExp,42.731
4971,Africa,Angola,2007,pop,12420476.0
2,Africa,Benin,1952,gdpPercap,1062.7522
1706,Africa,Benin,1952,lifeExp,38.223
3410,Africa,Benin,1952,pop,1738315.0
144,Africa,Benin,1957,gdpPercap,959.6010805
1848,Africa,Benin,1957,lifeExp,40.358
3552,Africa,Benin,1957,pop,1925173.0
286,Africa,Benin,1962,gdpPercap,949.4990641
1990,Africa,Benin,1962,lifeExp,42.618
3694,Africa,Benin,1962,pop,2151895.0
